tour,player,elo,peak_elo,matches,wins,losses,last_date
ATP,Pacheco Mendez R.,1450.37,1500.0,8,2,6,
ATP,Kwon S.W.,1449.86,1507.14,8,2,6,2024-08-26
ATP,Rottgering M.,1449.16,1500.0,3,0,3,2026-10-02
ATP,Heide G.,1449.09,1509.33,10,3,7,
ATP,Shelbayh A.,1448.79,1500.0,6,1,5,
ATP,Cressy M.,1448.47,1500.0,5,1,4,2024-07-29
ATP,Broady L.,1448.13,1516.0,5,1,4,2024-07-01
ATP,Varillas J.P.,1448.11,1500.0,8,2,6,2024-07-17
ATP,Nishioka Y.,1447.66,1554.34,58,24,34,2025-10-05
ATP,Albot R.,1447.35,1502.62,11,3,8,2025-04-01
ATP,Engel J.,1447.34,1516.63,12,4,8,
ATP,Mccabe J.,1446.95,1500.0,6,1,5,2025-01-16
ATP,Passaro F.,1446.79,1521.7,22,8,14,
ATP,Nardi L.,1446.29,1534.82,45,15,30,
ATP,Dougaz A.,1446.23,1500.0,4,0,4,2025-02-24
ATP,Choinski J.,1445.54,1515.89,14,4,10,
ATP,Goffin D.,1445.18,1607.01,66,28,38,2025-10-21
ATP,Krueger M.,1445.07,1500.0,10,3,7,2025-07-16
ATP,Basilashvili N.,1444.62,1529.27,29,11,18,
ATP,Habib H.,1444.01,1517.94,6,1,5,
ATP,Rodionov J.,1443.53,1500.0,9,2,7,
ATP,Diaz Acosta F.,1442.19,1578.89,47,21,26,
ATP,Eubanks C.,1440.81,1506.16,37,13,24,2025-07-01
ATP,Ofner S.,1440.28,1558.83,71,27,44,
ATP,Monteiro T.,1439.16,1589.27,28,12,16,
ATP,Skatov T.,1438.99,1530.77,11,3,8,
ATP,Fearnley J.,1438.5,1581.63,51,20,31,
ATP,Topo M.,1437.55,1500.0,4,0,4,
ATP,Bautista Agut R.,1437.19,1600.51,98,42,56,
ATP,Grenier H.,1436.85,1516.61,11,3,8,2026-10-02
ATP,Barrere G.,1436.77,1524.29,13,4,9,2025-01-27
ATP,Murray A.,1436.53,1500.0,18,6,12,2024-06-19
ATP,Hassan B.,1436.23,1500.0,4,0,4,
ATP,Bu Y.,1433.5,1590.69,53,20,33,
ATP,Tu L.,1432.3,1500.0,8,1,7,2025-03-07
ATP,Kyrgios N.,1431.65,1500.0,9,2,7,
ATP,Harris B.,1431.27,1567.76,24,9,15,
ATP,Walton A.,1430.44,1500.0,67,22,45,
ATP,Ymer E.,1430.4,1500.0,13,3,10,
ATP,Gasquet R.,1429.86,1500.0,27,8,19,2025-05-29
ATP,Carballes Baena R.,1429.76,1549.01,81,36,45,
ATP,Meligeni Alves F.,1428.85,1513.21,7,1,6,2025-02-26
ATP,Kotov P.,1427.71,1555.88,42,18,24,2025-04-01
ATP,Jarry N.,1427.62,1582.09,66,25,41,
ATP,Vukic A.,1425.0,1558.63,104,40,64,
ATP,O Connell C.,1424.83,1552.9,81,32,49,
ATP,Draxl L.,1423.56,1500.0,5,0,5,
ATP,Karatsev A.,1423.24,1500.0,13,3,10,2024-10-16
ATP,Muller A.,1422.88,1602.22,104,45,59,
ATP,Djere L.,1422.27,1610.12,58,24,34,
ATP,Royer V.,1421.34,1566.9,42,14,28,
ATP,McDonald M.,1421.26,1524.79,34,11,23,
ATP,Wawrinka S.,1421.1,1500.0,59,19,40,
ATP,Kypson P.,1420.77,1519.91,18,5,13,
ATP,Ramos-Vinolas A.,1420.39,1500.0,12,3,9,2024-08-26
ATP,Gojo B.,1415.96,1500.0,7,0,7,2025-05-19
ATP,Wolf J.J.,1415.5,1500.0,11,2,9,2024-07-30
ATP,Zhang Zh.,1413.44,1602.88,75,30,45,
ATP,Mcdonald M.,1412.36,1500.0,17,4,13,2024-08-27
ATP,Kovacevic A.,1411.83,1518.94,98,34,64,
ATP,Gaston H.,1409.66,1531.65,67,25,42,
ATP,Herbert P.,1409.45,1518.85,14,4,10,
ATP,Schoolkate T.,1407.92,1505.33,23,7,16,
ATP,Mayot H.,1406.21,1531.93,18,5,13,2025-04-25
ATP,Zapata Miralles B.,1405.26,1500.0,9,1,8,2024-03-08
ATP,Cina F.,1402.52,1518.81,13,3,10,
ATP,Zeppieri G.,1402.08,1515.97,14,3,11,2025-10-14
ATP,Barrios M.,1400.62,1501.87,17,4,13,
ATP,Lajovic D.,1400.04,1564.73,58,23,35,
ATP,Coria F.,1399.63,1563.86,31,11,20,2026-10-02
ATP,Schwartzman D.,1396.56,1500.0,10,1,9,2025-02-13
ATP,Dellien H.,1395.5,1514.7,18,4,14,
ATP,Fognini F.,1394.02,1563.51,33,12,21,2025-06-30
ATP,Galan D.E.,1393.29,1516.0,31,9,22,2025-08-25
ATP,Lestienne C.,1391.77,1500.0,18,4,14,2025-02-05
ATP,Holt B.,1391.77,1500.0,11,1,10,2025-08-26
ATP,Thiem D.,1388.81,1500.0,10,1,9,2024-10-22
ATP,Martinez P.,1371.08,1600.92,92,35,57,
ATP,Marterer M.,1370.45,1500.0,19,3,16,2025-05-27
ATP,Cachin P.,1368.97,1500.0,17,2,15,2024-07-16
ATP,Tseng C.H.,1365.83,1516.27,18,4,14,2026-05-03
ATP,Daniel T.,1365.25,1548.01,42,12,30,
ATP,Coric B.,1357.34,1538.0,36,11,25,2025-08-24
ATP,Nagal S.,1356.92,1517.44,24,5,19,
WTA,Barty A.,1962.3,1962.3,73,63,10,
WTA,Swiatek I.,1923.01,2051.33,346,284,62,
WTA,Halep S.,1878.51,1937.38,113,86,27,
WTA,Pegula J.,1854.03,1949.72,323,227,96,
WTA,Sabalenka A.,1849.01,2030.18,360,273,87,
WTA,Jabeur O.,1823.77,1859.29,272,182,90,
WTA,Osaka N.,1823.08,1832.53,143,96,47,
WTA,Gauff C.,1809.23,1943.91,321,227,94,
WTA,Zheng Q.,1797.03,1838.87,188,120,68,
WTA,Kontaveit A.,1788.9,1923.15,152,101,51,
WTA,Azarenka V.,1785.48,1800.55,206,133,73,
WTA,Ostapenko J.,1779.19,1821.66,257,154,103,
WTA,Rybakina E.,1775.37,1977.84,328,234,94,
WTA,Kvitova P.,1761.81,1817.51,165,103,62,
WTA,Badosa P.,1761.63,1818.35,230,150,80,
WTA,Vondrousova M.,1751.29,1793.21,183,111,72,
WTA,Krejcikova B.,1751.21,1806.8,215,139,76,
WTA,Muchova K.,1747.68,1813.89,174,115,59,
